user_id,product_id,interaction_type,timestamp
5c98c42f-dfaf-4aad-b8d9-a7c72b3a675d,a1c7f712-ec50-4d8e-a6fa-15bca0f05427,click,2024-04-14 06:25:14
13421e5c-8745-45b9-b08d-379e41263996,5d900a1c-ef36-4d7a-a573-14e526304bd7,click,2024-02-26 14:39:22
7839c863-f6d2-4c5a-a557-06d9d085efed,71867db6-016b-40f6-a52e-7c83b9a0a479,view,2024-04-15 07:21:14
ff75dec0-e794-4dd6-abe7-ab03ee8961af,c8b302d5-1f12-42d9-993d-1ff1b274d980,view,2024-01-18 02:48:42
5d199e17-8276-4392-a32c-ce83e2882455,b91e90e8-2d2e-4a31-bd83-15e54b736296,view,2024-03-21 14:48:12
b427639f-9bdb-429f-af90-e3bcd3a7560c,cba82267-cd0c-4dc4-b9e8-a7c1e0f9c5e0,purchase,2024-04-05 04:46:17
43de7e6b-1983-49e6-b377-c2d8acae38b4,5d900a1c-ef36-4d7a-a573-14e526304bd7,purchase,2024-04-15 07:46:16
ffcd8485-a1fe-4f00-bcba-5a253e5d4834,0556a1e4-39a2-4869-9011-873e9d616dc4,click,2024-04-20 02:05:20
ebb829d0-7a77-435b-880f-7d8e33ea6826,f4d0b3dd-5773-4006-aef3-c751ec8b891b,view,2024-04-22 17:30:09
ebb829d0-7a77-435b-880f-7d8e33ea6826,b35b2722-263c-4f16-94cc-4bd492eb4076,view,2024-02-29 18:31:19
32c73a08-6708-41d2-ac24-a37077459390,4d841498-732c-404a-bf67-3c7c7ab2b090,click,2024-01-05 12:09:22
054e4243-fbad-4808-9961-2278b73ef815,a1c7f712-ec50-4d8e-a6fa-15bca0f05427,click,2024-03-12 11:08:30
dcf31d96-007f-4df9-bd43-057a1d29af33,9cdc9293-b036-455c-9045-ab59002d6f4f,click,2024-01-01 22:17:43
b16f0f0c-5cda-4e53-9036-0b335815ec93,27fd2e13-8ae3-4ec4-ae15-44d2ced02648,click,2024-03-07 20:31:43
